round,position,whos_turn,hole1,hole2,flop1,flop2,flop3,turn,river,pot_bb,to_call_bb,hero_stack_bb,opp_stack_bb,effective_stack_bb,spr,raise_to_bb,bet_frac_of_pot,bet_frac_of_pot_clipped,is_allin,action,p_fold,p_check_call,p_raise_s,p_raise_m,p_raise_l,model_class
preflop,BTN,hero,3c,7c,,,,,,3.0,1.5,98.0,99.0,98.0,32.666666666666664,1.5,0.5,0.5,0.0,raise,0.0,3.86272358809947e-06,0.9999961853027344,0.0,4.264178221554035e-36,raise_s
preflop,BB,villain,3s,7d,,,,,,4.5,0.0,98.0,97.5,97.5,21.666666666666668,0.0,0.0,0.0,0.0,check,,,,,,
preflop,BTN,hero,3c,7c,,,,,,4.5,0.0,98.0,97.5,97.5,21.666666666666668,0.0,0.0,0.0,0.0,check,0.0,0.9999991655349731,8.416700438829139e-07,0.0,1.177341867491954e-25,check_call
preflop,BB,villain,3s,7d,,,,,,4.5,0.0,98.0,97.5,97.5,21.666666666666668,0.0,0.0,0.0,0.0,check,,,,,,
preflop,BTN,hero,3c,7c,,,,,,4.5,0.0,98.0,97.5,97.5,21.666666666666668,0.0,0.0,0.0,0.0,check,0.0,0.9999991655349731,8.416700438829139e-07,0.0,1.177341867491954e-25,check_call
preflop,BTN,hero,3d,5h,,,,,,3.0,1.5,98.0,99.0,98.0,32.666666666666664,1.5,0.5,0.5,0.0,raise,0.0,1.0666063644748647e-05,0.99998939037323,0.0,4.1769857989381255e-36,raise_s
preflop,BB,villain,3c,4d,,,,,,4.5,0.0,98.0,97.5,97.5,21.666666666666668,0.0,0.0,0.0,0.0,check,,,,,,
preflop,BTN,hero,3d,5h,,,,,,4.5,0.0,98.0,97.5,97.5,21.666666666666668,0.0,0.0,0.0,0.0,check,0.0,0.9999998807907104,1.3062701498256502e-07,0.0,1.2808088175984232e-26,check_call
preflop,BB,villain,3c,4d,,,,,,4.5,0.0,98.0,97.5,97.5,21.666666666666668,0.0,0.0,0.0,0.0,check,,,,,,
preflop,BTN,hero,3d,5h,,,,,,4.5,0.0,98.0,97.5,97.5,21.666666666666668,0.0,0.0,0.0,0.0,check,0.0,0.9999998807907104,1.3062701498256502e-07,0.0,1.2808088175984232e-26,check_call
